"id","priority","requirement_status","release_evidence_status","evidence_refs","exception_ref","blocker_reason"
"OPS-001","P0","Approved","partial","docs/plans/m4-core-scm-operations.md; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/backend/backendProcess.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/tests/backendProcess.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","directory/recursive add, ignored-target confirmation/force UI, cancellation evidence, watcher suppression behavior, and full release-load evidence remain open"
"OPS-002","P0","Approved","partial","docs/plans/m4-core-scm-operations.md; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/backend/backendProcess.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/tests/backendProcess.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","group/folder remove, force-remove UI, missing-file-specific remove, watcher suppression behavior, and full release-load evidence remain open"
"OPS-003","P0","Approved","partial","docs/plans/m4-core-scm-operations.md; crates/subversionr-daemon/tests/native_bridge.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","folder/missing-file UX, watcher suppression behavior, and full release-load evidence remain open"
"OPS-004","P0","Approved","verified","docs/plans/m4-core-scm-operations.md; docs/release/delete-unversioned-trash-policy.md; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","none"
"OPS-005","P0","Approved","partial","docs/plans/m4-core-scm-operations.md; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/backend/backendProcess.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/tests/backendProcess.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","watcher suppression behavior and full release-load evidence remain open"
"OPS-006","P0","Approved","partial","docs/plans/m4-core-scm-operations.md; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","group/folder revert, changelist/depth UI, added-file keep-local variants, watcher suppression behavior, and full release-load evidence remain open"
"OPS-007","P0","Approved","partial","docs/plans/m4-core-scm-operations.md; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","richer resolve choices, batch/folder/group resolve, conflict editor flows, watcher suppression behavior, and full release-load evidence remain open"
"OPS-008","P0","Approved","partial","docs/plans/m4-core-scm-operations.md; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","automatic cleanup-required prompts, arbitrary subpath cleanup, vacuum/externals cleanup UI, cancellation evidence, watcher suppression behavior, and full release-load evidence remain open"
"OPS-009","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"OPS-010","P0","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/properties/backendPropertiesClient.ts; packages/vscode-extension/src/properties/propertiesListRpcClient.ts; packages/vscode-extension/tests/propertiesListRpcClient.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","full property editor UX, remote/auth/certificate property evidence, cancellation UX, and load evidence remain open"
"OPS-011","P0","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/properties/backendPropertiesClient.ts; packages/vscode-extension/src/properties/propertiesListRpcClient.ts; packages/vscode-extension/tests/propertiesListRpcClient.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","full ignored-pattern UX, remote/auth/certificate evidence, cancellation UX, and load evidence remain open"
"OPS-012","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"OPS-013","P0","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/status/statusSettings.ts; packages/vscode-extension/tests/statusSettings.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","broad load evidence, richer changelist policy UX, and cancellation UX remain open"
"OPS-014","P0","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/status/statusSnapshotRpcClient.ts; packages/vscode-extension/tests/statusSnapshotRpcClient.test.ts; packages/vscode-extension/src/status/statusRefreshRpcClient.ts; packages/vscode-extension/tests/statusRefreshRpcClient.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","local Lock message prompt cancellation covered; broad remote lock/auth/certificate matrices and load evidence remain open"
"OPS-015","P0","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/status/statusSnapshotRpcClient.ts; packages/vscode-extension/tests/statusSnapshotRpcClient.test.ts; packages/vscode-extension/src/status/statusRefreshRpcClient.ts; packages/vscode-extension/tests/statusRefreshRpcClient.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","local Unlock mode prompt cancellation covered; broad remote lock/auth/certificate matrices, break-lock policy evidence, and load evidence remain open"
"OPS-016","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"OPS-017","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"OPS-018","P1","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/repository/repositoryCheckoutRpcClient.ts; packages/vscode-extension/src/repository/backendRepositoryCheckoutClient.ts; packages/vscode-extension/tests/repositoryCheckoutRpcClient.test.ts; packages/vscode-extension/tests/backendRepositoryCheckoutClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/capture-vscode-renderer-ui.mjs","none","arbitrary remote auth/certificate checkout, repository browser integration, and broader checkout failure matrices remain open"
"OPS-019","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"OPS-020","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"OPS-021","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"OPS-022","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-001","P0","Approved","verified","docs/plans/m4-core-scm-operations.md; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/src/repository/commitAllCommandArgument.ts; packages/vscode-extension/tests/commitAllCommandArgument.test.ts; packages/vscode-extension/src/extension.ts; packages/vscode-extension/package.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","none"
"COM-002","P0","Approved","verified","docs/plans/m4-core-scm-operations.md; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/extension.ts; packages/vscode-extension/package.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","none"
"COM-003","P0","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/status/statusSettings.ts; packages/vscode-extension/tests/statusSettings.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","load evidence, cancellation UX, and broader commit template/message-history behavior remain open"
"COM-004","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-005","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-006","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-007","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-008","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-009","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-010","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-011","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-012","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-013","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"COM-014","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"SYN-001","P0","Approved","partial","Reference/requirements.csv; docs/plans/m4-core-scm-operations.md; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/stdio_rpc.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","installed remote/auth/certificate update evidence, non-ignored native bridge release-gate evidence, network-failure UX evidence, accessibility evidence beyond the conflict warning capture, and broader release/load evidence remain open"
